,date,prcp,station,latitude,longitude,elevation
0,2016-01-01,0.0,USC00519397,21.2716,-157.8168,3.0
1,2016-01-02,0.0,USC00519397,21.2716,-157.8168,3.0
2,2016-01-03,0.0,USC00519397,21.2716,-157.8168,3.0
3,2016-01-04,0.0,USC00519397,21.2716,-157.8168,3.0
4,2016-01-05,0.0,USC00519397,21.2716,-157.8168,3.0
5,2016-01-06,0.0,USC00519397,21.2716,-157.8168,3.0
6,2016-01-07,0.18,USC00519397,21.2716,-157.8168,3.0
7,2016-01-01,0.02,USC00513117,21.4234,-157.8015,14.6
8,2016-01-02,0.01,USC00513117,21.4234,-157.8015,14.6
9,2016-01-03,0.0,USC00513117,21.4234,-157.8015,14.6
10,2016-01-04,0.0,USC00513117,21.4234,-157.8015,14.6
11,2016-01-05,0.19,USC00513117,21.4234,-157.8015,14.6
12,2016-01-06,0.3,USC00513117,21.4234,-157.8015,14.6
13,2016-01-07,0.03,USC00513117,21.4234,-157.8015,14.6
14,2016-01-01,0.0,USC00514830,21.5213,-157.8374,7.0
15,2016-01-02,0.05,USC00514830,21.5213,-157.8374,7.0
16,2016-01-03,0.0,USC00514830,21.5213,-157.8374,7.0
17,2016-01-04,0.0,USC00514830,21.5213,-157.8374,7.0
18,2016-01-05,0.1,USC00514830,21.5213,-157.8374,7.0
19,2016-01-06,0.04,USC00514830,21.5213,-157.8374,7.0
20,2016-01-07,0.03,USC00514830,21.5213,-157.8374,7.0
21,2016-01-01,0.0,USC00519523,21.33556,-157.71139,19.5
22,2016-01-02,0.13,USC00519523,21.33556,-157.71139,19.5
23,2016-01-03,0.0,USC00519523,21.33556,-157.71139,19.5
24,2016-01-06,0.0,USC00519523,21.33556,-157.71139,19.5
25,2016-01-07,0.0,USC00519523,21.33556,-157.71139,19.5
26,2016-01-01,0.02,USC00519281,21.45167,-157.84888999999998,32.9
27,2016-01-02,0.03,USC00519281,21.45167,-157.84888999999998,32.9
28,2016-01-03,0.0,USC00519281,21.45167,-157.84888999999998,32.9
29,2016-01-04,0.0,USC00519281,21.45167,-157.84888999999998,32.9
30,2016-01-05,0.18,USC00519281,21.45167,-157.84888999999998,32.9
31,2016-01-06,0.35,USC00519281,21.45167,-157.84888999999998,32.9
32,2016-01-07,0.35,USC00519281,21.45167,-157.84888999999998,32.9
33,2016-01-01,0.0,USC00516128,21.3331,-157.8025,152.4
34,2016-01-02,0.13,USC00516128,21.3331,-157.8025,152.4
35,2016-01-03,0.0,USC00516128,21.3331,-157.8025,152.4
36,2016-01-04,0.0,USC00516128,21.3331,-157.8025,152.4
37,2016-01-05,0.0,USC00516128,21.3331,-157.8025,152.4
38,2016-01-06,1.49,USC00516128,21.3331,-157.8025,152.4
39,2016-01-07,1.32,USC00516128,21.3331,-157.8025,152.4
